Target,Entry into force,Suspended,Lifted,Establishing document
Afghanistan,19-Dec-00,16-Jan-02,,UNSCR 1333
Angola,15-Sep-93,,9-Dec-02,UNSCR 864
Central African Rep.,5-Dec-13,,,UNSCR 2127
Cote d'Ivoire,15-Nov-04,,28-Apr-16,UNSCR 1572
DRC,28-Jul-03,,,UNSCR 1493
Eritrea,17-May-00,,15-May-01,UNSCR 1298
Eritrea,23-Dec-09,,14-Nov-18,UNSCR 1907
Ethiopia,17-May-00,,15-May-01,UNSCR 1298
Haiti,16-Jun-93,29-Sep-94,29-Sep-94,UNSCR 841
Iran,23-Dec-06,,,UNSCR 1737
Iraq,6-Aug-90,,,UNSCR 661
"ISIL, Al-Qaeda and associated individuals and entities",16-Jan-02,,,UNSCR 1390
Lebanon,11-Aug-06,,,UNSCR 1701
Liberia,19-Nov-92,,26-May-16,UNSCR 788
Libya,31-Mar-92,5-Apr-99,12-Sep-03,UNSCR 748
Libya,26-Feb-11,,,UNSCR 1970
North Korea,14-Oct-06,,,UNSCR 1718
Rwanda,17-May-94,,10-Jul-08,UNSCR 918
Sierra Leone,8-Oct-97,,29-Sep-10,UNSCR 1132
Somalia,23-Jan-92,,,UNSCR 733
South Africa,4-Nov-77,,25-May-94,UNSCR 418
South Sudan,13-Jul-18,,,UNSCR 2428
Southern Rhodesia,16-Dec-66,,21-Dec-79,UNSCR 232
Sudan,30-Jul-04,,,UNSCR 1556
Taliban,16-Jan-02,,,UNSCR 1390
Yemen,14-Apr-15,,,UNSCR 2216
Yugoslavia,25-Sep-91,,1-Oct-96,UNSCR 2216
Yugoslavia,31-Mar-98,,10-Sep-01,UNSCR 1160
Afghanistan,22-Oct-96,,25-Oct-01,UNSCR 1076
Eritrea,12-Feb-99,,17-May-00,UNSCR 1227
Ethiopia,12-Feb-99,,17-May-00,UNSCR 1227
Azerbaijan,29-Jul-93,,1-Jan-02,UNSCR 853
South Africa,7-Aug-63,,4-Nov-77,UNSCR 181
Afghanistan,17-Dec-96,,26-Feb-01,96/746/CFSP
Afghanistan,26-Feb-01,,27-May-02,2001/154/CFSP
"Al-Qaeda, Taliban, Osama Bin Laden",27-May-02,,,2002/402/CFSP
Belarus,20-Jun-11,,,2011/357/CFSP
Bosnia and Herzegovina,5-Jul-91,,23-Jan-06,EC declaration
Central African Republic,23-Dec-13,,,2013/798/CFSP
China,27-Jun-89,,,EC declaration
Cote d'Ivoire,15-Nov-04,,9-Jun-16,2004/852/CFSP
Croatia,5-Jul-91,,20-Nov-00,EC declaration
DRC,7-Apr-93,,,EC declaration
Egypt,21-Aug-13,,,EU agreement
Eritrea,15-Mar-99,,31-May-01,1999/206/CFSP
Eritrea,1-Mar-10,,12-Dec-18,2010/127/CFSP
Ethiopia,15-Mar-99,,31-May-01,1999/206/CFSP
Guinea,27-Oct-09,,14-Apr-14,2009/788/CFSP
Indonesia,17-Sep-99,,17-Jan-00,1999/624/CFSP
Iran,23-Apr-07,,,2007/246/CFSP
Iraq,4-Aug-90,,,EC declaration
Lebanon,15-Sep-06,,,2006/625/CFSP
Liberia,7-May-01,,20-Jun-16,2001/357/CFSP
Libya,27-Jan-86,,11-Oct-04,EC declaration
Libya,28-Feb-11,,,2011/137/CFSP
Myanmar,29-Jul-91,,,EC declaration
Nigeria,20-Nov-95,,1-Jun-99,95/515/CFSP
North Korea,22-Nov-06,,,2006/795/CFSP
Russia,31-Jul-14,,,2014/512/CFSP
Sierra Leone,5-Jun-98,,29-Oct-10,98/409/CFSP
Slovenia,5-Jul-91,16-Feb-96,10-Aug-98,EC declaration
Somalia,10-Dec-02,,,2002/960/CFSP
South Sudan,18-Jul-11,,,2011/423/CFSP
Sudan,15-Mar-94,,,94/165/CFSP
Syria,14-Nov-86,,28-Nov-94,EC Declaration
Syria,9-May-11,,,2011/273/CFSP
Ukraine,20-Feb-14,,16-Jul-14,EU agreement
Uzbekistan,14-Nov-05,,31-Oct-09,2005/792/CFSP
Venezuela,13-Nov-17,,,EU 2017/2063
Yemen,8-Jun-15,,,EU 2015/878
Yugoslavia,5-Jul-91,,8-Oct-01,EC declaration
Zimbabwe,18-Feb-02,,,2002/145/CFSP
Burundi,6-Aug-96,,23-Jan-99,-
Guinea,17-Oct-09,,25-Mar-11,-
Azerbaijan,28-Feb-92,,,OSCE statement
Nigeria,24-Apr-96,,1-Nov-99,-
Syria,3-Dec-11,,,LAS statement
Togo,25-Feb-05,,28-May-05,-
Togo,19-Feb-05,,26-Feb-05,-
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,